Date,Article Count,Mean Author Count,Std Author Count,Min Author Count,25% Percentile,50% Percentile,75% Percentile,Max Author Count
2020-07-13,189384.0,5.602115279009842,17.389341764945687,1.0,2.0,4.0,7.0,3572.0
2020-07-12,187938.0,5.603544786046462,17.459998532510696,1.0,2.0,4.0,7.0,3572.0
2020-07-11,187291.0,5.592073297702505,17.45830131055409,1.0,2.0,4.0,7.0,3572.0
2020-07-10,186929.0,5.60057026999556,17.49455100037937,1.0,2.0,4.0,7.0,3572.0
2020-07-09,186084.0,5.596316717181488,17.510002502398063,1.0,2.0,4.0,7.0,3572.0
2020-07-08,184929.0,5.600987405977429,17.571909684770805,1.0,2.0,4.0,7.0,3572.0
2020-07-07,183141.0,5.60639070442992,17.661786241534923,1.0,2.0,4.0,7.0,3572.0
2020-07-06,182328.0,5.603423500504585,17.67546473139845,1.0,2.0,4.0,7.0,3572.0
2020-07-05,181778.0,5.601882516036044,17.719351213486444,1.0,2.0,4.0,7.0,3572.0
2020-07-04,181456.0,5.599131469888017,17.722900685019216,1.0,2.0,4.0,7.0,3572.0
2020-07-03,180153.0,5.604008814729702,17.793467753579083,1.0,2.0,4.0,7.0,3572.0
2020-07-01,169821.0,5.618050771106047,18.27524037358716,1.0,2.0,4.0,7.0,3572.0
2020-06-30,168679.0,5.622887259232033,18.32944123653447,1.0,2.0,4.0,7.0,3572.0
2020-06-29,167822.0,5.623166211819666,18.37653288235467,1.0,2.0,4.0,7.0,3572.0
2020-06-28,167470.0,5.619269122827969,18.37200314301033,1.0,2.0,4.0,7.0,3572.0
2020-06-27,163835.0,5.62217474898526,18.57476534923968,1.0,2.0,4.0,7.0,3572.0
2020-06-26,163544.0,5.613058259550947,18.56118393917261,1.0,2.0,4.0,7.0,3572.0
2020-06-25,161564.0,5.605858978485307,18.41268774236028,1.0,2.0,4.0,7.0,3572.0
2020-06-24,160082.0,5.603247085868492,18.487712574055188,1.0,2.0,4.0,7.0,3572.0
2020-06-23,160356.0,5.601623886851755,18.46204015645916,1.0,2.0,4.0,7.0,3572.0
2020-06-22,158947.0,5.613896456051388,18.56204664058486,1.0,2.0,4.0,7.0,3572.0
